year,week,snapped_at,price,market_cap,total_volume
2024,42,2024-10-18 00:00:00+00:00,67328.10527002988,1330387728623.8188,34512072357.92087
2024,43,2024-10-21 00:00:00+00:00,68962.82918045693,1362381684459.9053,17253863432.786995
2024,44,2024-10-28 00:00:00+00:00,67938.55412885673,1343350549900.1233,16533385730.434193
2024,45,2024-11-04 00:00:00+00:00,68803.50626277467,1362302032218.0198,37659435506.75704
2024,46,2024-11-11 00:00:00+00:00,80466.71654833542,1590846468754.067,93473126207.67863
2024,47,2024-11-18 00:00:00+00:00,89841.47194135105,1776887033229.9082,48556083101.64749
2024,48,2024-11-25 00:00:00+00:00,98015.9355289458,1939446484727.4285,50665680246.86775
2024,49,2024-12-02 00:00:00+00:00,97311.70719084324,1925808416477.5068,49147687432.565895
2024,50,2024-12-09 00:00:00+00:00,101235.3717025316,2003238967638.8289,62677764785.05408
2024,51,2024-12-16 00:00:00+00:00,104721.50151808978,2075487816560.1924,70645074624.52869
2024,52,2024-12-23 00:00:00+00:00,95094.27394862172,1884599149192.4587,44619017105.36954
2025,1,2024-12-30 00:00:00+00:00,93663.44751964069,1854872605738.8088,24065314499.502277
2025,2,2025-01-06 00:00:00+00:00,98364.58946599838,1948339898718.8584,20060293834.7155
2025,3,2025-01-13 00:00:00+00:00,94454.77089638809,1870314882306.924,19608932595.53299
2025,4,2025-01-20 00:00:00+00:00,101275.33714814208,2014842808849.5005,72970313683.92325
2025,5,2025-01-27 00:00:00+00:00,102552.24874280208,2036324005947.406,20639818380.26942
2025,6,2025-02-03 00:00:00+00:00,97568.31653024876,1933691439792.2544,59784234332.21204
2025,7,2025-02-10 00:00:00+00:00,96548.57865379583,1913068773356.083,25457107581.051964
2025,8,2025-02-17 00:00:00+00:00,96149.3484548204,1905012222220.369,13634794998.739267
2025,9,2025-02-24 00:00:00+00:00,96327.46309127836,1909625674815.4763,16643044374.983364
2025,10,2025-03-03 00:00:00+00:00,94261.5328653844,1868321705444.488,61859112550.80991
2025,11,2025-03-10 00:00:00+00:00,80751.13893300897,1602073794580.0344,32013406240.51754
2025,12,2025-03-17 00:00:00+00:00,82610.61750343916,1638672153483.722,21638031633.118767
2025,13,2025-03-24 00:00:00+00:00,85787.70914901773,1702009594329.4497,12617587530.619724
2025,14,2025-03-31 00:00:00+00:00,82356.38111183756,1633996304187.2593,13428975108.070734
2025,15,2025-04-07 00:00:00+00:00,78211.48358199988,1555325260787.2627,36140377231.68329
2025,16,2025-04-14 00:00:00+00:00,83600.82010054543,1658923208081.8682,28731125717.93436
2025,17,2025-04-21 00:00:00+00:00,85073.16544858096,1689008667806.3804,12625843856.313684
2025,18,2025-04-28 00:00:00+00:00,93809.33781968225,1862772247122.064,15926259371.05796
2025,19,2025-05-05 00:00:00+00:00,94326.62048529249,1872812442453.032,14903122945.616686
2025,20,2025-05-12 00:00:00+00:00,103994.061616746,2065659960471.3652,27389436049.454792
2025,21,2025-05-19 00:00:00+00:00,106030.6376831359,2104889720872.8303,30744060179.802963
2025,22,2025-05-26 00:00:00+00:00,108861.81037744328,2163072841533.6133,29652659665.048733
2025,23,2025-06-02 00:00:00+00:00,105710.00593822816,2101178071590.9749,17721500507.53389
2025,24,2025-06-09 00:00:00+00:00,105692.24740699006,2100654769399.4705,16044679696.270103
2025,25,2025-06-16 00:00:00+00:00,105554.49383061715,2098499110552.6216,16568441852.649668
