year,week,snapped_at,price,market_cap,total_volume
2024,42,2024-10-18 00:00:00+00:00,150.27306080375143,70573405283.51457,2717600021.312216
2024,43,2024-10-21 00:00:00+00:00,166.573580832598,78229210681.92538,3153223457.134059
2024,44,2024-10-28 00:00:00+00:00,176.62596685410173,83135834565.19875,3262906486.5268407
2024,45,2024-11-04 00:00:00+00:00,162.66791799614072,76639755911.6,3328092038.7950063
2024,46,2024-11-11 00:00:00+00:00,210.18784246643875,99044422018.77544,11110901193.487217
2024,47,2024-11-18 00:00:00+00:00,237.4665536612789,112583245508.81412,12972061001.980022
2024,48,2024-11-25 00:00:00+00:00,253.63893250552624,120502230128.64162,6901354952.3071165
2024,49,2024-12-02 00:00:00+00:00,237.54718827599987,112858141484.31874,5045595846.945474
2024,50,2024-12-09 00:00:00+00:00,237.5785456304544,113135754973.99297,4395374812.781921
2024,51,2024-12-16 00:00:00+00:00,224.53658892974883,107667694926.24756,3942318066.518842
2024,52,2024-12-23 00:00:00+00:00,180.15299381882627,86503599316.97266,5182484546.123343
2025,1,2024-12-30 00:00:00+00:00,189.9284130164687,91097223580.5688,2637965244.6069903
2025,2,2025-01-06 00:00:00+00:00,213.44823541657385,103130316780.37643,3048234520.4287724
2025,3,2025-01-13 00:00:00+00:00,188.39194289058088,91207532007.52104,1635265225.559339
2025,4,2025-01-20 00:00:00+00:00,251.97488550305263,122020537308.0902,27745408600.276928
2025,5,2025-01-27 00:00:00+00:00,241.06731630326192,117303806305.96825,4718944732.494511
2025,6,2025-02-03 00:00:00+00:00,202.32492853599263,98398368500.85646,9577730751.60321
2025,7,2025-02-10 00:00:00+00:00,200.44634668796408,97797330676.8804,3575183754.783349
2025,8,2025-02-17 00:00:00+00:00,188.165584495931,91860796549.96172,2477404625.155988
2025,9,2025-02-24 00:00:00+00:00,168.09302650361454,82111049206.9718,1845951247.1170416
2025,10,2025-03-03 00:00:00+00:00,178.17413183106032,90446325718.02034,13105437774.765997
2025,11,2025-03-10 00:00:00+00:00,126.63426805755284,64443868119.22886,3801194130.62927
2025,12,2025-03-17 00:00:00+00:00,126.16514527624146,64335280377.63734,2798721596.913924
2025,13,2025-03-24 00:00:00+00:00,132.10106868785385,67460845086.99793,1946961909.8583128
2025,14,2025-03-31 00:00:00+00:00,124.5806499329744,63769548570.98089,1878569311.0322552
2025,15,2025-04-07 00:00:00+00:00,105.76515013740064,54407017309.8724,4396294752.456149
2025,16,2025-04-14 00:00:00+00:00,128.2347432835372,66179248512.52756,4291450492.451211
2025,17,2025-04-21 00:00:00+00:00,137.6315829179827,71115714800.43887,3092429798.991093
2025,18,2025-04-28 00:00:00+00:00,148.2466719511348,76723146261.05916,2296538427.6507287
2025,19,2025-05-05 00:00:00+00:00,143.9823040324787,74610364597.26736,1839075329.597307
2025,20,2025-05-12 00:00:00+00:00,172.85779222329435,89780630397.80266,4733142340.016698
2025,21,2025-05-19 00:00:00+00:00,171.5406749574527,89156663000.20357,4719647862.73409
2025,22,2025-05-26 00:00:00+00:00,175.13203918726265,91110205286.38454,3915382381.155895
2025,23,2025-06-02 00:00:00+00:00,157.63092185153255,82343946258.36638,2744309615.2839994
2025,24,2025-06-09 00:00:00+00:00,152.50446458828966,80043272922.8385,2132215310.9007103
2025,25,2025-06-16 00:00:00+00:00,152.684889859998,80585766786.45044,3899774764.538459
